Date,"Audience ayant installé l'application (Tous les utilisateurs, Utilisateurs uniques, Par intervalle, Quotidiennes) : Tous les pays/régions","Audience ayant installé l'application (Tous les utilisateurs, Utilisateurs uniques, Par intervalle, Quotidiennes) : Russie","Audience ayant installé l'application (Tous les utilisateurs, Utilisateurs uniques, Par intervalle, Quotidiennes) : Brésil","Audience ayant installé l'application (Tous les utilisateurs, Utilisateurs uniques, Par intervalle, Quotidiennes) : Inde","Audience ayant installé l'application (Tous les utilisateurs, Utilisateurs uniques, Par intervalle, Quotidiennes) : Mexique",Notes
23 juil. 2025,0,0,0,0,0,
24 juil. 2025,0,0,0,0,0,
25 juil. 2025,0,0,0,0,0,
26 juil. 2025,0,0,0,0,0,
27 juil. 2025,0,0,0,0,0,
28 juil. 2025,0,0,0,0,0,
29 juil. 2025,6,0,0,0,0,
30 juil. 2025,5,0,0,0,0,
31 juil. 2025,6,0,0,0,0,
1 août 2025,5,0,0,0,0,
2 août 2025,5,0,0,0,0,
3 août 2025,6,0,0,0,0,
4 août 2025,6,0,0,0,0,
5 août 2025,9,0,0,0,0,
6 août 2025,12,0,0,0,0,
7 août 2025,11,0,0,0,0,
8 août 2025,11,0,0,0,0,
9 août 2025,11,0,0,0,0,
10 août 2025,13,0,0,0,0,
11 août 2025,14,0,0,0,0,
12 août 2025,12,0,0,0,0,
13 août 2025,15,0,0,0,0,
14 août 2025,19,0,0,0,0,
15 août 2025,19,0,0,0,0,
16 août 2025,17,0,0,0,0,
17 août 2025,18,0,0,0,0,
18 août 2025,19,0,0,0,0,
19 août 2025,25,0,0,0,0,
20 août 2025,26,0,0,0,0,
21 août 2025,23,0,0,0,0,
22 août 2025,25,0,0,0,0,
23 août 2025,26,0,0,0,0,
24 août 2025,26,0,0,0,0,
25 août 2025,25,0,0,0,0,
26 août 2025,24,0,0,0,0,
27 août 2025,28,0,0,0,0,
28 août 2025,25,0,0,0,0,
29 août 2025,24,0,0,0,0,
30 août 2025,26,0,0,0,0,
31 août 2025,24,0,0,0,0,
1 sept. 2025,27,0,0,0,0,
2 sept. 2025,24,0,0,0,0,
3 sept. 2025,23,0,0,0,0,
4 sept. 2025,26,0,0,0,0,
5 sept. 2025,25,0,0,0,0,
6 sept. 2025,26,0,0,0,0,
7 sept. 2025,29,0,0,0,0,
8 sept. 2025,27,0,0,0,0,
9 sept. 2025,27,0,0,0,0,
10 sept. 2025,25,0,0,0,0,
11 sept. 2025,28,0,0,0,0,
12 sept. 2025,37,0,0,1,0,
13 sept. 2025,40,0,1,1,0,
14 sept. 2025,44,0,1,1,2,
15 sept. 2025,53,1,1,1,1,
16 sept. 2025,64,2,2,2,1,
