Code;Population approximative (2025)
IN;1 460 000 000
CN;1 410 000 000
US;347 000 000
ID;286 000 000
PK;255 000 000
NG;238 000 000
BR;212 000 000
BD;176 000 000
RU;144 000 000
ET;135 000 000
MX;132 000 000
JP;123 000 000
PH;119 000 000
EG;118 000 000
CD;112 000 000
VN;102 000 000
IR;92 000 000
TR;88 000 000
DE;84 000 000
TH;71 000 000
TZ;70 000 000
GB;69 000 000
FR;68 000 000
ZA;64 000 000
IT;59 000 000
KE;57 000 000
MM;55 000 000
CO;53 000 000
KR;52 000 000
UG;51 000 000
SD;51 000 000
ES;49 000 000
IQ;47 000 000
DZ;47 000 000
AR;47 000 000
AF;43 000 000
CA;42 000 000
YE;41 000 000
AO;39 000 000
SA;39 000 000
MA;38 000 000
UA;37 000 000
UZ;37 000 000
MY;36 000 000
PE;35 000 000
GH;35 000 000
MZ;35 000 000
CI;32 000 000
MG;32 000 000
NP;31 000 000
CM;30 000 000
VE;29 000 000
NE;29 000 000
AU;27 000 000
KP;26 000 000
BF;25 000 000
ML;25 000 000
SY;25 000 000
TW;23 000 000
MW;22 000 000
LK;22 000 000
ZM;22 000 000
KZ;21 000 000
TD;21 000 000
SO;20 000 000
CL;20 000 000
EC;19 000 000
SN;19 000 000
GT;19 000 000
RO;19 000 000
BE;12 000 000
BO;13 000 000
TN;13 000 000
RW;15 000 000
BJ;15 000 000
GN;15 000 000
BI;14 000 000
KH;18 000 000
NL;18 000 000
HT;12 000 000
DO;12 000 000
JO;12 000 000
AZ;11 000 000
CZ;11 000 000
SE;11 000 000
CU;11 000 000
PT;10 000 000
IL;10 000 000
AE;10 000 000
TG;10 000 000
HU;9 500 000
AT;9 200 000
BY;9 000 000
CH;9 000 000
SL;9 000 000
LA;8 000 000
KG;7 500 000
HK;7 500 000
LY;7 000 000
PY;7 000 000
NI;7 000 000
RS;6 600 000
CG;6 500 000
TM;6 500 000
BG;6 400 000
SV;6 300 000
DK;6 000 000
SG;6 000 000
NO;5 600 000
FI;5 600 000
LR;5 500 000
CF;5 500 000
IE;5 400 000
SK;5 400 000
OM;5 400 000
CR;5 300 000
NZ;5 300 000
MR;5 000 000
KW;5 000 000
PA;4 600 000
HR;3 800 000
GE;3 700 000
MN;3 600 000
ER;3 600 000
UY;3 500 000
BA;3 200 000
NA;3 100 000
QA;3 000 000
AM;3 000 000
GM;2 900 000
LT;2 800 000
JM;2 800 000
AL;2 700 000
BW;2 700 000
GA;2 500 000
LS;2 300 000
GW;2 200 000
SI;2 100 000
LV;1 900 000
GQ;1 900 000
MK;1 800 000
BH;1 700 000
TT;1 500 000
EE;1 400 000
TL;1 400 000
CY;1 300 000
MU;1 300 000
SZ;1 300 000
DJ;1 200 000
FJ;950 000
KM;900 000
GY;850 000
SB;850 000
BT;800 000
LU;700 000
SR;650 000
ME;620 000
CV;600 000
MV;550 000
BN;470 000
BZ;450 000
BS;420 000
IS;410 000
VU;350 000
BB;280 000
ST;240 000
WS;230 000
LC;180 000
KI;140 000
GD;130 000
VC;110 000
SC;110 000
TO;105 000
AG;100 000
AD;85 000
DM;75 000
KN;50 000
LI;40 000
MC;39 000
SM;34 000
PW;18 000
NR;13 000
TV;11 000
VA;800
